;Time;PIRP_value;Category
482;09-43;588;class 2
483;09-44;781;class 2
484;09-45;739;class 2
485;09-46;655;class 2
486;09-47;669;class 2
487;09-48;677;class 2
488;09-49;828;class 2
489;09-50;622;class 2
490;09-51;699;class 2
491;09-52;853;class 2
492;09-53;899;class 2
493;09-54;800;class 2
494;09-55;920;class 2
495;09-56;836;class 2
496;09-57;684;class 2
497;09-58;737;class 2
498;09-59;753;class 2
499;10-00;844;class 2
500;10-11;747;class 2
501;10-12;711;class 2
502;10-13;711;class 2
503;10-14;674;class 2
504;10-15;833;class 2
505;10-16;934;class 2
506;10-17;728;class 2
507;10-18;728;class 2
508;10-19;721;class 2
509;10-20;721;class 2
510;10-21;817;class 2
511;10-22;611;class 2
512;10-23;615;class 2
513;10-24;803;class 2
514;10-25;767;class 2
515;10-26;535;class 2
516;10-27;755;class 2
517;10-28;856;class 2
518;10-29;677;class 2
519;10-30;583;class 2
520;10-31;580;class 2
521;10-32;663;class 2
522;10-33;832;class 2
523;10-34;705;class 2
524;10-35;685;class 2
525;10-36;742;class 2
526;10-37;616;class 2
527;10-38;563;class 2
528;10-39;708;class 2
529;10-40;708;class 2
530;10-41;808;class 2
531;10-42;658;class 2
532;10-43;622;class 2
533;10-44;768;class 2
534;10-45;803;class 2
535;10-46;803;class 2
536;10-47;668;class 2
537;10-48;771;class 2
538;10-49;820;class 2
539;10-50;820;class 2
540;10-51;820;class 2
541;10-52;776;class 2
542;10-53;609;class 2
543;10-54;580;class 2
544;10-55;748;class 2
545;10-56;635;class 2
546;10-57;553;class 2
547;10-58;586;class 2
548;10-59;552;class 2
549;11-00;548;class 2
550;11-11;745;class 2
551;11-12;680;class 2
552;11-13;665;class 2
553;11-14;672;class 2
554;11-15;702;class 2
555;11-16;544;class 2
556;11-17;582;class 2
557;11-18;567;class 2
558;11-19;511;class 2
559;11-20;568;class 2
560;11-21;634;class 2
561;11-22;762;class 2
562;11-23;700;class 2
563;11-24;637;class 2
564;11-25;697;class 2
565;11-26;697;class 2
566;11-27;651;class 2
567;11-28;784;class 2
568;11-29;727;class 2
569;11-30;702;class 2
570;11-31;659;class 2
571;11-32;729;class 2
572;11-33;490;class 2
573;11-34;542;class 2
574;11-35;574;class 2
575;11-36;616;class 2
576;11-37;495;class 2
577;11-38;490;class 2
578;11-39;533;class 2
579;11-40;627;class 2
580;11-41;583;class 2
581;11-42;611;class 2
582;11-43;564;class 2
583;11-44;500;class 2
584;11-45;536;class 2
585;11-46;620;class 2
586;11-47;701;class 2
587;11-48;816;class 2
588;11-49;840;class 2
589;11-50;839;class 2
590;11-51;654;class 2
591;11-52;654;class 2
592;11-53;654;class 2
593;11-54;819;class 2
594;11-55;806;class 2
595;11-56;819;class 2
596;11-57;790;class 2
597;11-58;872;class 2
598;11-59;830;class 2
599;12-00;743;class 2
600;17-55;142;class 2
601;18-01;103;class 2
602;18-02;152;class 2
603;18-03;145;class 2
604;18-04;124;class 2
605;18-05;202;class 2
606;18-06;37;class 1
607;18-07;31;class 1
608;18-08;30;class 1
609;18-09;29;class 1
610;18-10;29;class 1
611;18-11;29;class 1
612;18-12;30;class 1
613;18-13;29;class 1
614;18-14;130;class 2
615;18-15;31;class 1
616;18-16;27;class 1
617;18-17;24;class 1
618;18-18;34;class 1
619;18-19;22;class 1
620;18-20;67;class 1
621;18-21;23;class 1
622;18-22;37;class 1
623;18-23;30;class 1
624;18-24;30;class 1
625;18-25;62;class 1
626;18-26;46;class 1
627;18-27;21;class 1
628;18-28;16;class 1
629;18-29;16;class 1
630;18-30;18;class 1
631;18-31;19;class 1
632;18-32;19;class 1
633;18-33;22;class 1
634;18-34;20;class 1
635;18-35;22;class 1
636;18-36;21;class 1
637;18-37;19;class 1
638;18-38;19;class 1
639;18-39;17;class 1
640;18-40;17;class 1
641;18-41;14;class 1
642;18-42;15;class 1
643;18-43;14;class 1
644;18-44;13;class 1
645;18-45;13;class 1
646;18-46;12;class 1
647;18-47;10;class 0
648;18-48;10;class 0
649;18-49;10;class 0
650;18-50;9;class 0
651;18-51;12;class 1
652;18-52;14;class 1
653;18-53;14;class 1
654;18-54;12;class 1
655;18-55;12;class 1
656;18-56;11;class 1
657;18-57;9;class 0
658;18-58;9;class 0
659;18-59;7;class 0
660;19-00;8;class 0
661;19-11;4;class 0
