Time;PIRP_value;Category
09-58;799;class 2
09-59;802;class 2
10-00;861;class 2
10-11;753;class 2
10-12;875;class 2
10-13;877;class 2
10-14;819;class 2
10-15;850;class 2
10-16;851;class 2
10-17;882;class 2
10-18;764;class 2
10-19;793;class 2
10-20;883;class 2
10-21;824;class 2
10-22;795;class 2
10-23;856;class 2
10-24;856;class 2
10-25;857;class 2
10-26;856;class 2
10-27;855;class 2
10-28;828;class 2
10-29;886;class 2
10-30;885;class 2
10-31;885;class 2
10-32;888;class 2
10-33;829;class 2
10-34;890;class 2
10-35;865;class 2
10-36;892;class 2
10-37;862;class 2
10-38;830;class 2
10-39;860;class 2
10-40;801;class 2
10-41;868;class 2
10-42;808;class 2
10-43;897;class 2
10-44;894;class 2
10-45;837;class 2
10-46;837;class 2
10-47;872;class 2
10-48;845;class 2
10-49;845;class 2
10-50;777;class 2
10-51;894;class 2
10-52;870;class 2
10-53;902;class 2
10-54;841;class 2
10-55;872;class 2
10-56;872;class 2
10-57;843;class 2
10-58;843;class 2
10-59;869;class 2
11-00;906;class 2
11-11;846;class 2
11-12;913;class 2
11-13;879;class 2
11-14;912;class 2
11-15;913;class 2
11-16;797;class 2
11-17;913;class 2
11-18;791;class 2
11-19;882;class 2
11-20;858;class 2
11-21;722;class 2
11-22;887;class 2
11-23;856;class 2
11-24;916;class 2
11-25;854;class 2
11-26;886;class 2
11-27;917;class 2
11-28;885;class 2
11-29;885;class 2
11-30;885;class 2
11-31;887;class 2
11-32;830;class 2
11-33;830;class 2
11-34;862;class 2
11-35;861;class 2
11-36;891;class 2
11-37;892;class 2
11-38;889;class 2
11-39;859;class 2
11-40;855;class 2
11-41;833;class 2
11-42;833;class 2
11-43;921;class 2
11-44;923;class 2
11-45;923;class 2
11-46;861;class 2
11-47;861;class 2
11-48;861;class 2
11-49;922;class 2
11-50;888;class 2
11-51;888;class 2
11-52;894;class 2
11-53;696;class 2
11-54;891;class 2
11-55;920;class 2
11-56;920;class 2
11-57;826;class 2
11-58;889;class 2
11-59;827;class 2
12-00;921;class 2
12-11;921;class 2
12-12;914;class 2
12-13;824;class 2
12-14;884;class 2
12-15;917;class 2
12-16;890;class 2
12-17;886;class 2
12-18;884;class 2
12-19;857;class 2
12-20;825;class 2
12-21;912;class 2
12-22;912;class 2
12-23;882;class 2
12-24;830;class 2
12-25;852;class 2
12-26;880;class 2
12-27;911;class 2
12-28;911;class 2
12-29;907;class 2
12-30;904;class 2
12-31;875;class 2
12-32;878;class 2
12-33;850;class 2
12-34;882;class 2
12-35;882;class 2
12-36;852;class 2
12-37;789;class 2
12-38;816;class 2
12-39;873;class 2
12-40;842;class 2
12-41;814;class 2
12-42;844;class 2
12-43;844;class 2
12-44;849;class 2
12-45;879;class 2
12-46;908;class 2
12-47;908;class 2
12-48;845;class 2
12-49;876;class 2
12-50;904;class 2
12-51;905;class 2
12-52;845;class 2
12-53;873;class 2
12-54;902;class 2
12-55;868;class 2
12-56;777;class 2
12-57;861;class 2
12-58;831;class 2
12-59;831;class 2
13-00;898;class 2
13-11;917;class 2
13-12;819;class 2
13-13;822;class 2
13-14;705;class 2
13-15;881;class 2
13-16;825;class 2
13-17;884;class 2
13-18;880;class 2
13-19;849;class 2
13-20;844;class 2
13-21;844;class 2
13-22;806;class 2
13-23;777;class 2
13-24;772;class 2
13-25;807;class 2
13-26;810;class 2
13-27;866;class 2
13-28;836;class 2
13-29;865;class 2
13-30;777;class 2
13-31;835;class 2
13-32;805;class 2
13-33;802;class 2
13-34;828;class 2
13-35;825;class 2
13-36;823;class 2
13-37;798;class 2
13-38;849;class 2
13-39;818;class 2
13-40;788;class 2
13-41;628;class 2
13-42;761;class 2
13-43;785;class 2
13-44;785;class 2
13-45;836;class 2
13-46;779;class 2
13-47;806;class 2
13-48;779;class 2
13-49;807;class 2
13-50;748;class 2
13-51;801;class 2
13-52;769;class 2
13-53;740;class 2
13-54;819;class 2
13-55;817;class 2
13-56;788;class 2
13-57;759;class 2
13-58;786;class 2
13-59;810;class 2
14-00;751;class 2
14-11;807;class 2
14-12;756;class 2
14-13;756;class 2
14-14;757;class 2
14-15;754;class 2
14-16;751;class 2
14-17;675;class 2
14-18;720;class 2
14-19;769;class 2
14-20;769;class 2
14-21;764;class 2
14-22;760;class 2
14-23;760;class 2
14-24;656;class 2
14-25;730;class 2
14-26;700;class 2
14-27;724;class 2
14-28;747;class 2
14-29;743;class 2
14-30;698;class 2
14-31;696;class 2
14-32;642;class 2
14-33;741;class 2
14-34;664;class 2
14-35;685;class 2
14-36;611;class 2
14-37;707;class 2
14-38;729;class 2
14-39;706;class 2
14-40;729;class 2
14-41;727;class 2
14-42;727;class 2
14-43;727;class 2
14-44;696;class 2
14-45;692;class 2
14-46;665;class 2
14-47;660;class 2
14-48;217;class 2
14-49;217;class 2
14-50;703;class 2
14-51;655;class 2
14-52;698;class 2
14-53;693;class 2
14-54;620;class 2
14-55;618;class 2
14-56;660;class 2
14-57;659;class 2
14-58;634;class 2
14-59;633;class 2
15-00;608;class 2
15-11;638;class 2
15-12;621;class 2
15-13;599;class 2
15-14;597;class 2
15-15;617;class 2
15-16;592;class 2
15-17;608;class 2
15-18;627;class 2
15-19;582;class 2
15-20;579;class 2
15-21;580;class 2
15-22;558;class 2
15-23;617;class 2
15-24;573;class 2
15-25;613;class 2
15-26;595;class 2
15-27;591;class 2
15-28;586;class 2
15-29;543;class 2
15-30;543;class 2
15-31;575;class 2
15-32;494;class 2
15-33;571;class 2
15-34;528;class 2
15-35;528;class 2
15-36;561;class 2
15-37;541;class 2
15-38;556;class 2
15-39;567;class 2
15-40;508;class 2
15-41;545;class 2
15-42;542;class 2
15-43;539;class 2
15-44;537;class 2
15-45;538;class 2
15-46;532;class 2
15-47;530;class 2
15-48;547;class 2
15-49;525;class 2
15-50;521;class 2
15-51;517;class 2
15-52;515;class 2
15-53;512;class 2
15-54;526;class 2
15-55;489;class 2
15-56;469;class 2
15-57;520;class 2
15-58;467;class 2
15-59;499;class 2
16-00;463;class 2
16-11;495;class 2
16-12;461;class 2
16-13;441;class 2
16-14;438;class 2
16-15;404;class 2
16-16;396;class 2
16-17;422;class 2
16-18;435;class 2
16-19;417;class 2
16-20;416;class 2
16-21;430;class 2
16-22;445;class 2
16-23;402;class 2
16-24;427;class 2
16-25;425;class 2
16-26;392;class 2
16-27;401;class 2
16-28;426;class 2
16-29;413;class 2
16-30;425;class 2
16-31;423;class 2
16-32;420;class 2
16-33;390;class 2
16-34;372;class 2
16-35;396;class 2
16-36;406;class 2
16-37;376;class 2
16-38;360;class 2
16-39;395;class 2
16-40;366;class 2
16-41;351;class 2
16-42;362;class 2
16-43;371;class 2
16-44;381;class 2
16-45;341;class 2
16-46;337;class 2
16-47;371;class 2
16-48;344;class 2
16-49;354;class 2
16-50;338;class 2
16-51;338;class 2
16-52;333;class 2
16-53;355;class 2
16-54;340;class 2
16-55;324;class 2
16-56;331;class 2
16-57;328;class 2
16-58;305;class 2
16-59;298;class 2
17-00;315;class 2
17-11;289;class 2
17-12;275;class 2
17-13;275;class 2
17-14;278;class 2
17-15;278;class 2
17-16;265;class 2
17-17;261;class 2
17-18;260;class 2
17-19;278;class 2
17-20;257;class 2
17-21;265;class 2
17-22;260;class 2
17-23;245;class 2
17-24;233;class 2
17-25;255;class 2
17-26;258;class 2
17-27;257;class 2
17-28;220;class 2
17-29;252;class 2
17-30;232;class 2
17-31;236;class 2
17-32;241;class 2
17-33;241;class 2
17-34;433;class 2
17-35;198;class 2
17-36;219;class 2
17-37;208;class 2
17-38;219;class 2
17-39;214;class 2
17-40;203;class 2
17-41;200;class 2
17-42;192;class 2
17-43;197;class 2
17-44;197;class 2
17-45;197;class 2
17-46;197;class 2
17-47;185;class 2
17-48;170;class 2
17-49;173;class 2
17-50;176;class 2
17-51;181;class 2
17-52;63;class 1
17-53;177;class 2
17-54;174;class 2
17-55;172;class 2
17-56;172;class 2
17-57;161;class 2
17-58;161;class 2
17-59;118;class 2
18-00;147;class 2
18-11;144;class 2
18-12;116;class 2
18-13;113;class 2
18-14;106;class 2
18-15;107;class 2
18-16;108;class 2
18-17;105;class 2
18-18;106;class 2
18-19;99;class 1
18-20;101;class 2
18-21;98;class 1
18-22;95;class 1
18-23;93;class 1
18-24;85;class 1
18-25;86;class 1
18-26;87;class 1
18-27;76;class 1
18-28;82;class 1
18-29;74;class 1
18-30;75;class 1
18-31;70;class 1
18-32;70;class 1
18-33;66;class 1
18-34;66;class 1
18-35;59;class 1
18-36;63;class 1
18-37;60;class 1
18-38;54;class 1
18-39;55;class 1
18-40;50;class 1
18-41;18;class 1
18-42;46;class 1
18-43;42;class 1
18-44;39;class 1
18-45;35;class 1
18-46;34;class 1
18-47;31;class 1
18-48;28;class 1
18-49;25;class 1
18-50;24;class 1
18-51;20;class 1
18-52;18;class 1
18-53;18;class 1
18-54;13;class 1
18-55;13;class 1
18-56;10;class 0
18-57;9;class 0
18-58;7;class 0
18-59;6;class 0
19-00;6;class 0
19-11;0;class 0
